"Time","BTC Total supply","BTC Market cap","ETH OKX Exchange address outflow","Number of OKC tokens","bitcoin:1KgeqstG8a19jNzUhRyVhwppMMJXp8id8L"
10/02/2010,254614.82,254614.82,,,
10/03/2010,255830.59,255830.59,,,
10/04/2010,256679.63,256679.63,,,
10/12/2010,445772.25,445772.25,,,
11/01/2010,864241.41,864241.41,,,
11/02/2010,862963.9,862963.9,,,
11/03/2010,1030112.5,1030112.5,,,
11/04/2010,1184752.66,1184752.66,,,
11/05/2010,1709848,1709848,,,
11/12/2010,1263403.8,1263403.8,,,
12/01/2010,1212690.75,1212690.75,,,
12/02/2010,1196328.57,1196328.57,,,
12/03/2010,983866.3,983866.3,,,
12/04/2010,933660,933660,,,
12/05/2010,979210.2,979210.2,,,
12/06/2010,1138412.73,1138412.73,,,
12/07/2010,1151696.58,1151696.58,,,
12/12/2010,1119279.65,1119279.65,,,
01/01/2011,1510543.93,1510543.93,,,
01/02/2011,1487862,1487862,,,
01/03/2011,1509966.56,1509966.56,,,
01/04/2011,1512041.98,1512041.98,,,
01/05/2011,1509593.5,1509593.5,,,
01/06/2011,1623328,1623328,,,
01/07/2011,1641026.24,1641026.24,,,
01/08/2011,1644021.55,1644021.55,,,
01/09/2011,1665151.77,1665151.77,,,
01/10/2011,1667748.16,1667748.16,,,
02/10/2011,5749992.87,5749992.87,,,
01/11/2011,1630518.54,1630518.54,,,
02/11/2011,5813155.7,5813155.7,,,
01/12/2011,1627414.16,1627414.16,,,
